EntityClass,UUID,dish_id,ingredient_name,constraint_UUID
Ingredient,f1a2134c-32be-4370-a4e0-411e1ce2f26b,1,rajma,f1a2134c-32be-4370-a4e0-411e1ce2f26b
Ingredient,35ac501b-5ff1-4ff0-9d2f-5794a2f11f44,1,rice,35ac501b-5ff1-4ff0-9d2f-5794a2f11f44
Ingredient,4d9931ba-4aee-4846-9078-75704429c982,2,cottage cheese,4d9931ba-4aee-4846-9078-75704429c982
Ingredient,8092dcd7-17aa-40e3-ac86-907600b72929,2,tomato,8092dcd7-17aa-40e3-ac86-907600b72929
Ingredient,2f9ac998-ca93-4e28-aa0e-65ca72884e8b,3,moong daal,2f9ac998-ca93-4e28-aa0e-65ca72884e8b
Ingredient,bb8a84c3-3539-42fb-bf84-06ce459c04d8,3,green chilly,bb8a84c3-3539-42fb-bf84-06ce459c04d8
Ingredient,877aec84-4aa1-4a20-b039-0eeb12a25991,4,chicken,877aec84-4aa1-4a20-b039-0eeb12a25991
Ingredient,9b74e231-e1a6-4717-8904-117f137cd032,4,butter,9b74e231-e1a6-4717-8904-117f137cd032
Ingredient,7d890372-c9fe-4a69-b344-66ab2b8f2d51,4,cream,7d890372-c9fe-4a69-b344-66ab2b8f2d51
Ingredient,3c6bfd2d-5261-479b-a91c-acaeb261289d,5,granola,3c6bfd2d-5261-479b-a91c-acaeb261289d
Ingredient,eef1334c-d36b-40dd-b058-559558278024,5,banana chips,eef1334c-d36b-40dd-b058-559558278024
Ingredient,ea02f491-9622-4836-82f8-6f27180103ee,5,pumpkin seeds,ea02f491-9622-4836-82f8-6f27180103ee
Ingredient,097cb264-3bce-4ddc-8b54-92c12582d4d0,6,potato,097cb264-3bce-4ddc-8b54-92c12582d4d0
Ingredient,e00b45b3-6c66-4987-b3c0-4d46007a0092,7,offal,e00b45b3-6c66-4987-b3c0-4d46007a0092
Ingredient,0b7c022a-be58-4629-859f-398d595d6ed8,7,beef,0b7c022a-be58-4629-859f-398d595d6ed8
Ingredient,d030db31-8eb8-414c-9755-4058b1496068,8,chicken,d030db31-8eb8-414c-9755-4058b1496068
Ingredient,46dcac6b-db0c-4142-92e4-518f4495d734,8,butter,46dcac6b-db0c-4142-92e4-518f4495d734
Ingredient,a07d6e6d-7db3-4839-be5a-090425bd61e4,8,wheat,a07d6e6d-7db3-4839-be5a-090425bd61e4
Ingredient,ad6f8b2c-0c88-43e8-936b-159da928b255,8,rice,ad6f8b2c-0c88-43e8-936b-159da928b255
Ingredient,8aea6a34-8937-422e-adad-8a2ec7c628af,9,duck,8aea6a34-8937-422e-adad-8a2ec7c628af
Ingredient,feda1591-d4b1-47a8-be3e-b98d9403ae36,9,lamb,feda1591-d4b1-47a8-be3e-b98d9403ae36
Ingredient,28087954-1f42-440b-bd30-fb0b2d09fbfa,10,bacon,28087954-1f42-440b-bd30-fb0b2d09fbfa
Ingredient,07a397e6-aff3-44cb-a9ea-06c4a04b8a1a,10,egg,07a397e6-aff3-44cb-a9ea-06c4a04b8a1a
Ingredient,ab51a7c0-8ae2-428e-aa90-1abde49d52b0,10,granola,ab51a7c0-8ae2-428e-aa90-1abde49d52b0
Ingredient,f704473f-7cde-4977-b26a-9c78635f4e25,11,chicken,f704473f-7cde-4977-b26a-9c78635f4e25
Ingredient,4d27abb0-0c01-4e39-ba1e-512331e54a35,11,noodles,4d27abb0-0c01-4e39-ba1e-512331e54a35
Ingredient,95b74b97-4d1a-41c5-b640-a31ecf9089f4,12,egg,95b74b97-4d1a-41c5-b640-a31ecf9089f4
Ingredient,d9204052-997b-42a5-999f-c527f81aba5e,12,bread,d9204052-997b-42a5-999f-c527f81aba5e
Ingredient,25ce21a2-ae37-4ba4-8dc2-c99b299bedcf,13,eggplant,25ce21a2-ae37-4ba4-8dc2-c99b299bedcf
Ingredient,a3ff466b-d6fa-48a6-b1bb-aeaa613ad916,13,noodles,a3ff466b-d6fa-48a6-b1bb-aeaa613ad916
Ingredient,9e0bdbf4-9308-4f88-81e1-f5407affee4a,14,eggplant,9e0bdbf4-9308-4f88-81e1-f5407affee4a
Ingredient,2e66c75a-a455-4eeb-a687-fc891d3c961f,14,noodles,2e66c75a-a455-4eeb-a687-fc891d3c961f
Ingredient,1c261d5f-649d-4e15-9687-941086c0bdb9,14,feta cheese,1c261d5f-649d-4e15-9687-941086c0bdb9
Ingredient,c987b284-36f4-4544-bef1-e831f518eab8,15,green onion,c987b284-36f4-4544-bef1-e831f518eab8
Ingredient,63fe1452-01e7-4147-ab1c-3a490b4a44b6,15,bean sprouts,63fe1452-01e7-4147-ab1c-3a490b4a44b6
Ingredient,907c9387-467f-4d52-893e-f02512b4c1df,15,pork,907c9387-467f-4d52-893e-f02512b4c1df
Ingredient,02d1106c-2b89-4c56-89c7-64239ea04b48,15,noodles,02d1106c-2b89-4c56-89c7-64239ea04b48
Ingredient,2e2b4a81-0558-442a-af58-44c89a5dca42,16,salmon,2e2b4a81-0558-442a-af58-44c89a5dca42
Ingredient,8a791550-8883-4a9e-8138-1da3cb3b2b45,16,white beans,8a791550-8883-4a9e-8138-1da3cb3b2b45
Ingredient,e8b86e65-af98-44c5-92fc-d89aa4c7cb5a,17,lobster,e8b86e65-af98-44c5-92fc-d89aa4c7cb5a
Ingredient,aab05595-0405-4312-b108-4f20ec2958b4,17,butter,aab05595-0405-4312-b108-4f20ec2958b4
Ingredient,e58669a7-c9d6-4bb1-b558-2e1ea99924d3,18,salmon,e58669a7-c9d6-4bb1-b558-2e1ea99924d3
Ingredient,991c2617-633a-4490-9506-b2d388c3c3d1,18,tuna,991c2617-633a-4490-9506-b2d388c3c3d1
Ingredient,a03c386d-8d96-4e96-834e-178e1d8567d0,18,rice,a03c386d-8d96-4e96-834e-178e1d8567d0
Ingredient,c3bdf2f0-cc29-47ee-9862-546ae88c106e,18,seaweed,c3bdf2f0-cc29-47ee-9862-546ae88c106e
Ingredient,4daac47b-6b93-478a-bdf4-fec12de84590,19,all-purpose flour,4daac47b-6b93-478a-bdf4-fec12de84590
Ingredient,d33c2e9c-3fa7-413c-8970-e8709e2e4275,19,egg,d33c2e9c-3fa7-413c-8970-e8709e2e4275
Ingredient,a3950519-dd1c-441d-b516-862044eaf200,19,milk,a3950519-dd1c-441d-b516-862044eaf200
Ingredient,f571ee03-2c34-4264-bb63-19aefd445300,20,avocado,f571ee03-2c34-4264-bb63-19aefd445300
Ingredient,2bfe2d74-4ea1-42bf-a549-8317dbd13537,20,lettuce,2bfe2d74-4ea1-42bf-a549-8317dbd13537
Ingredient,48a9c89c-c10c-4b21-9709-a54ca789416d,20,quinoa,48a9c89c-c10c-4b21-9709-a54ca789416d
Ingredient,c00fb624-c937-42af-9e8f-3a3fc3a84e64,21,cocoa,c00fb624-c937-42af-9e8f-3a3fc3a84e64
Ingredient,6025dc4b-ffe6-42d1-acff-1554e303dc04,21,vodka,6025dc4b-ffe6-42d1-acff-1554e303dc04
Ingredient,d1a03f10-6d76-48b8-a006-c451f15f85c4,22,tequila,d1a03f10-6d76-48b8-a006-c451f15f85c4
Ingredient,49ac3390-cc4f-4beb-b581-424a8509dd32,22,triple sec,49ac3390-cc4f-4beb-b581-424a8509dd32
Ingredient,c9ce5ef5-cdea-437a-b2d2-fc06a1e276b8,23,all-purpose flour,c9ce5ef5-cdea-437a-b2d2-fc06a1e276b8
Ingredient,28ecd1d1-fc78-418a-8f37-5fd699086303,23,butter,28ecd1d1-fc78-418a-8f37-5fd699086303
Ingredient,d7fbdb5f-3798-48b9-bc25-fb845657cea9,23,chocolate,d7fbdb5f-3798-48b9-bc25-fb845657cea9
Ingredient,77af0a69-73b5-4b2d-8675-a9aa939c2221,24,squid,77af0a69-73b5-4b2d-8675-a9aa939c2221
Ingredient,982606bd-625a-4521-bfda-8d28e4383b32,24,pasta,982606bd-625a-4521-bfda-8d28e4383b32
Ingredient,88febf2d-9a01-4dc9-ae8b-68468bb11669,25,egg,88febf2d-9a01-4dc9-ae8b-68468bb11669
Ingredient,5f43ad78-d0fb-4868-b1de-26190c68c69a,25,potato,5f43ad78-d0fb-4868-b1de-26190c68c69a
Ingredient,668c0982-55d5-4fdc-82bf-a620da566592,26,egg,668c0982-55d5-4fdc-82bf-a620da566592
Ingredient,051e994f-fbdb-4dbf-9aca-a321d9af6748,26,tortilla,051e994f-fbdb-4dbf-9aca-a321d9af6748
Ingredient,386039b9-893b-45e3-b35b-f42740325ede,27,basil,386039b9-893b-45e3-b35b-f42740325ede
Ingredient,afd6cb8a-793b-4e87-9118-4432fa5e6cd9,27,olive oil,afd6cb8a-793b-4e87-9118-4432fa5e6cd9
Ingredient,0d12c582-bc3e-44c6-90aa-d3dfdf92fff7,28,sugar,0d12c582-bc3e-44c6-90aa-d3dfdf92fff7
Ingredient,ea9658c0-08c9-414d-bd9f-f7d2e827799b,28,milk,ea9658c0-08c9-414d-bd9f-f7d2e827799b
Ingredient,a78e833e-4b8e-4d9d-a049-a4101d265a1c,29,milk,a78e833e-4b8e-4d9d-a049-a4101d265a1c
Ingredient,708cc78b-232c-42b9-9980-3661ef4900ad,29,cocoa,708cc78b-232c-42b9-9980-3661ef4900ad
Ingredient,aca2260d-82cc-48e7-a932-18f7b2a1a4d4,30,all-purpose flour,aca2260d-82cc-48e7-a932-18f7b2a1a4d4
Ingredient,f214fa8b-8072-43a3-8b65-bc4f10fdb001,30,sugar,f214fa8b-8072-43a3-8b65-bc4f10fdb001
